,nOfCon,Dc,sAEC,Lambda
0,1,20,1500,6.663837887735297
1,1,20,5000,9.011483158805303
2,1,20,15000,10.252484717909022
3,1,20,50000,10.527451679710843
4,1,20,150000,9.634912629384324
5,1,20,500000,8.235759642537356
6,1,60,1500,3.5485169597145574
7,1,60,5000,6.880904300487847
8,1,60,15000,8.965905011130253
9,1,60,50000,10.223036363566807
10,1,60,150000,10.330088982580332
11,1,60,500000,9.668680621020354
12,1,200,1500,1.9071762687475184
13,1,200,5000,3.8202286922754847
14,1,200,15000,6.515807068359024
15,1,200,50000,8.64578703634027
16,1,200,150000,9.8701808505085
17,1,200,500000,10.094629122324893
18,1,600,1500,1.5922663667014665
19,1,600,5000,2.1077405984991597
20,1,600,15000,4.151719144967372
21,1,600,50000,7.040387152342899
22,1,600,150000,8.995748884200093
23,1,600,500000,10.176263645126348
24,1,2000,1500,1.4647655681560574
25,1,2000,5000,1.5855171525048108
26,1,2000,15000,2.015088391135052
27,1,2000,50000,4.1732399343111
28,1,2000,150000,6.875433977013158
29,1,2000,500000,9.365247368504551
30,1,6000,1500,1.4218051972092247
31,1,6000,5000,1.4655764558996107
32,1,6000,15000,1.5808897997423002
33,1,6000,50000,2.103479271022537
34,1,6000,150000,4.118973482874277
35,1,6000,500000,7.032426419879762
36,1,6000,1,1.409420883922066
37,1,6000,10,1.4104155683162642
